Time,ZGTB,GSYH,JSYH
2015-02-26,0.02644800 ,0.00883400 ,0.01090300 
2015-02-27,-0.00613500 ,-0.00875700 ,-0.00616300 
2015-03-02,-0.00617300 ,0.00353400 ,0.00465100 
2015-03-03,-0.02236000 ,-0.01760600 ,-0.02006200 
2015-03-04,-0.03684900 ,-0.01254500 ,-0.01417300 
2015-03-05,-0.01319300 ,-0.01451900 ,-0.01118200 
2015-03-06,-0.00133700 ,0.00184200 ,0.00000000 
2015-03-09,0.00937100 ,0.00735300 ,0.01292400 
2015-03-10,-0.03580900 ,-0.00912400 ,-0.01116400 
2015-03-11,-0.00687800 ,-0.00920800 ,-0.00645200 
2015-03-12,0.01662000 ,0.01858700 ,0.01948100 
2015-03-13,0.02316100 ,0.01277400 ,0.00796200 
2015-03-16,0.01198400 ,0.00540500 ,0.00473900 
2015-03-17,0.00526300 ,0.00179200 ,0.00000000 
2015-03-18,0.00523600 ,0.01073300 ,0.01100600 
2015-03-19,-0.02864600 ,0.00885000 ,0.00622100 
2015-03-20,0.00402100 ,-0.00175400 ,0.00154600 
2015-03-23,0.00400500 ,0.00000000 ,-0.00154300 
2015-03-24,-0.03191500 ,-0.01933200 ,-0.01391000 
2015-03-25,-0.00274700 ,-0.00179200 ,-0.00156700 
2015-03-26,-0.01928400 ,0.00000000 ,0.00157000 
2015-03-27,-0.00140400 ,-0.01256700 ,-0.01097200 
2015-03-30,0.01687800 ,0.02727300 ,0.01743300 
2015-03-31,0.02074700 ,0.01238900 ,0.00311500 
2015-04-01,0.01490500 ,0.00699300 ,0.00776400 
2015-04-02,-0.00267000 ,0.01562500 ,0.01078600 
2015-04-08,0.08433700 ,0.03418800 ,0.05030500 
2015-04-09,0.00123500 ,0.02644600 ,0.01886800 
2015-04-10,0.01849600 ,0.00966200 ,0.01139600 
2015-04-13,0.01452800 ,0.05741600 ,0.07746500 
2015-04-14,-0.02386600 ,-0.00603300 ,-0.01830100 
2015-04-15,-0.00244500 ,0.04855800 ,0.04394100 
2015-04-16,0.05514700 ,0.00434200 ,-0.00510200 
2015-04-17,-0.01509900 ,-0.02161400 ,-0.02435900 
2015-04-20,-0.04127400 ,-0.01325500 ,-0.02102500 
2015-04-21,0.01722000 ,0.04029900 ,0.04161100 
2015-04-22,0.02781100 ,0.00143500 ,-0.00902100 
2015-04-23,-0.01411800 ,-0.02435500 ,-0.00780200 
2015-04-24,-0.00358000 ,-0.00440500 ,-0.00262100 
2015-04-27,0.03592800 ,0.00590000 ,0.00131400 
2015-04-28,-0.01271700 ,0.01319600 ,0.01837300 
2015-04-29,-0.02341900 ,-0.00578900 ,-0.00902100 
2015-04-30,0.01438800 ,-0.01892300 ,-0.01820500 
2015-05-04,0.00591000 ,-0.00741800 ,0.00529800 
2015-05-05,-0.05875400 ,-0.02541100 ,-0.02503300 
2015-05-06,0.00124800 ,-0.00460100 ,-0.00135100 
2015-05-07,-0.01995000 ,-0.01078600 ,-0.01488500 
2015-05-08,0.02799000 ,0.01869200 ,0.01373600 
2015-05-11,0.02846500 ,0.00611600 ,-0.00135500 
2015-05-12,-0.01684700 ,-0.01215800 ,-0.00949800 
2015-05-13,-0.01224000 ,-0.00461500 ,0.00684900 
2015-05-14,-0.00247800 ,0.00309100 ,-0.00544200 
2015-05-15,0.02236000 ,0.01849000 ,0.01778400 
2015-05-18,-0.01093600 ,0.00000000 ,-0.00672000 
2015-05-19,0.02334200 ,0.01361600 ,0.01894500 
2015-05-20,0.00360100 ,0.00447800 ,0.00531200 
2015-05-21,-0.01196200 ,-0.00445800 ,0.00132100 
2015-05-22,0.04721500 ,0.01492500 ,0.01847000 
2015-05-26,0.01965300 ,0.02205900 ,0.02461100 
2015-05-27,-0.01532200 ,-0.00431700 ,0.00379300 
2015-05-28,-0.04322400 ,-0.02745700 ,-0.03652400 
2015-05-29,-0.02442000 ,0.00297200 ,0.01830100 
2015-06-01,0.03379200 ,0.01037000 ,0.00385100 
2015-06-02,-0.01089600 ,-0.00586500 ,-0.00511500 
2015-06-03,-0.00856800 ,-0.00885000 ,0.00128500 
2015-06-04,-0.01234600 ,0.00446400 ,0.01540400 
2015-06-05,0.03000000 ,-0.01925900 ,-0.01517100 
2015-06-08,0.01213600 ,0.01057400 ,0.01283700 
2015-06-09,-0.03597100 ,-0.01195800 ,-0.01901100 
2015-06-10,-0.00870600 ,-0.01512900 ,-0.01421200 
2015-06-11,0.02509400 ,0.01075300 ,0.00655300 
2015-06-12,0.03182400 ,0.01519800 ,0.01041700 
2015-06-15,-0.04270500 ,-0.02395200 ,-0.02190700 
2015-06-16,-0.05080500 ,-0.01993900 ,-0.01844500 
2015-06-17,0.01697100 ,0.00626000 ,0.00939600 
2015-06-18,-0.02053900 ,-0.00933100 ,-0.00531900 
2015-06-19,-0.01703800 ,-0.00471000 ,0.00802100 
2015-06-22,0.02800000 ,0.01735000 ,0.01326300 
2015-06-23,0.01037600 ,0.02790700 ,0.01956500 
2015-06-24,0.00770200 ,0.01357500 ,-0.00405400 
2015-06-25,-0.02420400 ,-0.00297600 ,-0.01221200 
2015-06-26,-0.03524800 ,-0.01492500 ,-0.02609900 
2015-06-29,-0.02977000 ,-0.02804300 ,-0.02256700 
2015-06-30,0.03765700 ,0.00983600 ,0.02164500 
2015-07-02,-0.01344100 ,-0.00162300 ,-0.00282500 
2015-07-03,-0.04087200 ,0.00975600 ,-0.00141600 
2015-07-06,-0.02272700 ,-0.01610300 ,-0.02836900 
2015-07-07,-0.05959300 ,-0.02618700 ,-0.00729900 
2015-07-08,-0.04636800 ,-0.07563000 ,-0.06029400 
2015-07-09,0.05510500 ,0.00363600 ,-0.00313000 
2015-07-10,0.03686600 ,0.02536200 ,0.02354800 
2015-07-13,0.01481500 ,0.02120100 ,0.00920200 
2015-07-14,-0.00292000 ,-0.01038100 ,-0.01215800 
2015-07-15,-0.00292800 ,-0.01049000 ,-0.00307700 
2015-07-16,0.00440500 ,0.00353400 ,0.00308600 
2015-07-17,0.01169600 ,0.00176100 ,0.00615400 
2015-07-20,-0.01011600 ,-0.00351500 ,-0.00305800 
2015-07-21,0.03795600 ,-0.00352700 ,0.00613500 
2015-07-22,-0.00562600 ,-0.01415900 ,-0.00914600 
2015-07-23,0.00424300 ,0.00359100 ,0.00461500 
2015-07-24,-0.01408500 ,-0.00536700 ,-0.01072000 
2015-07-27,-0.04714300 ,-0.02158300 ,-0.02786400 
2015-07-28,0.00149900 ,-0.00735300 ,-0.00318500 
2015-07-29,-0.00149700 ,0.01111100 ,0.01437700 
2015-07-30,-0.02548700 ,-0.01831500 ,-0.00944900 
2015-07-31,0.00000000 ,-0.00373100 ,0.00635900 
2015-08-03,-0.00769200 ,-0.00561800 ,-0.00316000 
2015-08-04,0.00620200 ,-0.00565000 ,0.00317000 
2015-08-05,0.00770400 ,0.01136400 ,0.00158000 
2015-08-06,-0.01070300 ,0.00000000 ,-0.00315500 
2015-08-07,-0.00154600 ,0.00936300 ,0.01424100 
2015-08-10,0.00000000 ,-0.00742100 ,-0.00624000 
2015-08-11,0.01238400 ,-0.00186900 ,-0.00784900 
2015-08-12,-0.01682000 ,-0.01498100 ,-0.01740500 
2015-08-13,0.01399700 ,-0.00190100 ,0.00161000 
2015-08-14,-0.01227000 ,0.00000000 ,0.00000000 
2015-08-17,-0.01397500 ,-0.01523800 ,-0.00643100 
2015-08-18,-0.03622000 ,-0.00967100 ,-0.01132700 
2015-08-19,-0.02941200 ,-0.01171900 ,-0.01473000 
2015-08-20,-0.00673400 ,-0.00988100 ,-0.01661100 
2015-08-21,-0.02711900 ,-0.01596800 ,-0.02195900 
2015-08-24,-0.08885000 ,-0.04665300 ,-0.04663200 
2015-08-25,0.00191200 ,-0.01489400 ,-0.01087000 
2015-08-26,-0.02480900 ,-0.00863900 ,-0.01465200 
