Time,CPI,ICBC,CCB
2015/8/10,0.00619938,-0.00186567,-0.0015674
2015/8/11,0.01081917,-0.01838235,-0.01557632
2015/8/12,-0.01076923,-0.00378788,-0.00956938
2015/8/13,0.00307692,-0.00190114,0
2015/8/14,-0.0212766,-0.00568182,-0.00638978
2015/8/17,-0.00157233,-0.00957854,-0.00322581
2015/8/18,-0.04672897,-0.01538462,-0.02396166
2015/8/19,-0.02622951,-0.01747573,-0.02113821
2015/8/20,-0.01666667,0,-0.00504202
2015/8/21,0,0.00612245,0.00346621
2015/8/24,-0.08885017,-0.0167364,-0.00540541
2015/8/25,-0.07583774,-0.01489362,-0.01621622
2015/8/26,-0.02480916,-0.02132196,-0.02181818
