,82M101M39M18,82M101M39M24,82M101M39M19,82M101M39M21,82M101M39M20,82M101M39M22,82M101M39M23,82M101M39M1,82M101M39M3,82M101M39M2,82M101M39M6,82M101M39M7,82M101M39M5,82M101M39M4,82M101M39M9,82M101M39M8,82M101M39M12,82M101M39M13,82M101M39M11,82M101M39M10,82M101M39M14,82M101M39M15,82M101M39M17,82M101M39M16
2018-08-20,0.5840766770462991,0.2564415350352008,0.022779776052977183,0.9886585014293888,0.26131166946141354,0.1171804368626753,0.4393148659573147,0.34687404085217877,0.3808431134514124,0.7206707870807483,0.18792912900653744,0.19702869315085889,0.26823269497259183,0.24072056501674086,0.2829020860848416,0.5075644796946314,0.052098552298346354,0.5485512440555168,0.2850121737158913,0.015877647355988758,0.5132965411452501,0.0699799366518354,0.03250204167436453,0.041961462291635776
2018-08-21,0.5840766770462991,0.2564415350352008,0.022779776052977183,0.9886585014293888,0.26131166946141354,0.1171804368626753,0.4393148659573147,0.34687404085217877,0.3808431134514124,0.7206707870807483,0.18792912900653744,0.19702869315085889,0.26823269497259183,0.24072056501674086,0.2829020860848416,0.5075644796946314,0.052098552298346354,0.5485512440555168,0.2850121737158913,0.015877647355988758,0.5132965411452501,0.0699799366518354,0.03250204167436453,0.041961462291635776
2018-08-22,0.5840766770462991,0.2564415350352008,0.022779776052977183,0.9886585014293888,0.26131166946141354,0.1171804368626753,0.4393148659573147,0.34687404085217877,0.3808431134514124,0.7206707870807483,0.18792912900653744,0.19702869315085889,0.26823269497259183,0.24072056501674086,0.2829020860848416,0.5075644796946314,0.052098552298346354,0.5485512440555168,0.2850121737158913,0.015877647355988758,0.5132965411452501,0.0699799366518354,0.03250204167436453,0.041961462291635776
2018-08-23,0.5840766770462991,0.2564415350352008,0.022779776052977183,0.9886585014293888,0.26131166946141354,0.1171804368626753,0.4393148659573147,0.34687404085217877,0.3808431134514124,0.7206707870807483,0.18792912900653744,0.19702869315085889,0.26823269497259183,0.24072056501674086,0.2829020860848416,0.5075644796946314,0.052098552298346354,0.5485512440555168,0.2850121737158913,0.015877647355988758,0.5132965411452501,0.0699799366518354,0.03250204167436453,0.041961462291635776
2018-08-24,0.6264513842667974,0.31732299836859934,0.016666672564419047,0.981416161068931,0.34159025374479784,0.25562917219653064,0.44079824482074936,0.2309358664706843,0.1839333380640202,0.2860953255100392,0.12901897226021997,0.19358880039644907,0.22987062464549604,0.34192515549574065,0.1500708626505282,0.34093418031823225,0.26455816933030285,0.44534123402550974,0.17908742009805767,0.27507092260583,0.3142621898087897,0.27099947488459397,0.15349804857302704,0.07452601331802303
2018-08-28,0.6358185608731225,0.47255751026485615,0.013046461478735087,0.9809626414455291,0.37929972271488993,0.3155874828267711,0.5070974378633571,0.08029542336394531,0.002433220359339572,0.02038778249882819,0.08888390417383094,0.3058460283674923,0.3023575931624992,0.41137012297588726,0.11132964365538478,0.4279520380889315,0.3438515343810621,0.12241796345258535,0.059391308974495786,0.4876686489918687,0.23855409363317576,0.3974474848383217,0.2502912557994157,0.11086040395976905
2018-09-02,0.45033619451213647,0.4531013629450482,0.040638571401510754,0.9758919739058977,0.22232064821271041,0.28043326180112205,0.48603579724837537,0.07930086870910336,0.021627311288189986,0.04078010235462024,0.05569401623356928,0.29177333541785444,0.5117085561215658,0.3170862991872686,0.11956664069491896,0.3014490345443262,0.22225381028346877,0.36530627245537567,0.06685548189129896,0.3029032639378785,0.33785879702144067,0.4410368991221505,0.21924783607842768,0.12598419047389472
2018-09-03,0.0854823443461988,0.14508136322023085,0.21626000501683684,0.9524606956378591,0.15390407988250313,0.37582568436940195,0.21958814119419223,0.1236562476664598,0.046738550951995694,0.04978833102845403,0.12528863135859172,0.07611296883223205,0.5122457159575476,0.10232752169051995,0.11116778414959665,0.13417965334150206,0.043903090667497736,0.4027463571078522,0.22499927088033755,0.23667945033272333,0.5526312655111412,0.2420547913250415,0.09305384680372762,0.08721019211878894
2018-09-04,0.3909812032041953,0.4170917100133919,0.6291757596038554,0.9053606557569518,0.4680817267601893,0.6387835978312668,0.2819920577079212,0.2650398277553766,0.07822086265793242,0.03379638114186082,0.15910415039052717,0.31021150259020774,0.2135946188463325,0.15068418083444396,0.4062228801271598,0.6452544540812694,0.3150187290108841,0.2538712116341204,0.5305843087409846,0.46590857286526427,0.7092418755188825,0.41558046265140086,0.4413925203090166,0.5199501924015052
2018-09-05,0.41501563599593067,0.03139891420968066,0.14771441636317134,0.9824428130566806,0.42791426490450957,0.2372623115340631,0.11542127709438853,0.31709294245883834,0.0762569859598808,0.018111962098064427,0.10201681767430316,0.1511491066726834,0.107262825996888,0.0753514478740586,0.2204274178132978,0.0711281920804171,0.4165278495040481,0.4112808809689403,0.09489567594084533,0.12844049869503477,0.3998469684850949,0.2647332283924041,0.026753977471081214,0.12329616271416177
2018-09-06,0.19297737712576388,0.10501153725553655,0.33152074926606845,0.9800392374999956,0.14174676214354567,0.22453832951773386,0.2710651889915512,0.17339504351436735,0.0939493081025259,0.1401398309216871,0.08807029369994623,0.26026747531951083,0.11295606492456516,0.09259196722414641,0.1857581276581678,0.09054619814656091,0.2892443449138901,0.4601908843533387,0.12425516468055368,0.06654209099762268,0.46662454068457987,0.0904614270282592,0.08509289513743835,0.08782893283233843
2018-09-07,0.2150984148918873,0.3450842920274264,0.13608607041559598,0.9861336603569582,0.3261700378600384,0.20590406699734898,0.440499604252476,0.23681328911763694,0.0064142658926646945,0.056786849240887005,0.08770472939226841,0.4060330915047493,0.38777816963185074,0.20289212612250265,0.18499301843099536,0.025615277920915336,0.1145587413118624,0.4787885047247404,0.15554179456838005,0.0066869870359437256,0.4406710240711877,0.17850526648686063,0.2115860949701006,0.04660200230561285
2018-09-08,0.21492670413608664,0.31016204760873783,0.5620394067359862,0.9416456216358629,0.19354998029603424,0.4400863058401512,0.24426381864638314,0.5213766305419827,0.3964856046935442,0.19714381082322321,0.27112894039223423,0.27233802824181363,0.41613409687013186,0.3546062635548375,0.18088191469781092,0.4334686070715237,0.302051122142222,0.4970480861492699,0.3907991920516894,0.12554974824091247,0.5473421205822755,0.2594462408104737,0.46213166936398337,0.2998864593583865
2018-09-09,0.2631631597518367,,0.3647463052648192,0.9636502253579571,0.14071462985966088,0.34842645058407506,0.1715890581440045,,,0.18031912063392952,,,0.1260576283504582,0.124861480403753,0.12276768711932162,,,,,,,,0.29183503621212115,0.038094216976207795
2018-09-10,0.2621016654879189,,0.3647463052648192,0.9635842886391502,,0.34842645058407506,,0.46048446648088537,0.2850590346873427,0.18031912063392952,0.2245633862148837,0.1065356841361984,0.1260576283504582,0.13655598517103718,,0.40102790250640463,,,,,,,,
2018-09-13,0.22884814372120937,0.04090417830080316,0.37849186245306604,0.9627922558224624,0.13065282966259492,0.34842645058407506,0.14886062450037577,0.46048446648088537,0.2850590346873427,0.18641277747800664,0.2245633862148837,0.1065356841361984,0.1260576283504582,,0.1351083751671857,0.41861312479121915,0.12079463073393093,0.37551780269581897,0.30217488098608847,0.05949550326655195,0.49974582682822727,0.2538475351784885,0.29183503621212115,0.026725463945115473
2018-09-14,0.1207805698210553,0.17930677337375464,0.5923524285101893,0.9138035618754686,0.3555879348301827,0.5499016498307804,0.3521851670960791,0.483703829831803,0.48203579527427076,0.22100686204103923,0.30023933019997423,0.22360575569781632,0.3804344566989766,0.4460348902517836,0.22085977342349358,0.7290409023247482,0.2878854887796303,0.21932686701097706,0.4345417447175247,0.30456661158075804,0.6127572952460411,0.11537474353784043,0.4336136360925948,0.1917169901287388
2018-09-15,0.18227656075659185,0.31448549460395897,0.623736249481169,0.914975234793927,0.3449212146175918,0.5444668756244253,0.2226883579598399,0.27512217791320115,0.17379411639876913,0.3029003454184727,0.23481510923197896,0.30083192364597866,0.33944431020497307,0.6499058502782324,0.23580482584011306,0.6503294412134791,0.21429529291043106,0.3319146628988295,0.534256666730516,0.21038108390036067,0.6328139426939067,0.1545209440887022,0.31507303402100356,0.21209465102802197
2018-09-16,0.13329507437229274,0.02341987863936393,0.06969309796341462,0.9741677050326795,0.5082556564120115,0.18401864985049643,0.052677236877567445,0.1266835487213598,0.09533478809726026,0.16899092859340703,0.04740486043921877,0.1367849984846567,0.0649358021883642,0.1446062788408975,0.13279354409637764,0.19136548377900714,0.32687787425592485,0.4511630942119864,0.33448462306103494,0.0591318521972078,0.3781480515842514,0.26472182917451587,0.31112448695105777,0.26225249628707176
2018-09-17,0.1525077576159773,0.2031544431528471,0.1809940396560876,0.974451521361642,0.47352817511007333,0.20353751621718771,0.02708059219561651,0.13898714291762007,0.07034936931635352,0.07180932545214452,0.02476548765735919,0.15818251848875173,0.032232136077726306,0.08769473316996632,0.08440396502530045,0.15309837501195125,0.2545409658811319,0.396056048405986,0.34338753442282427,0.015069483851755106,0.36840919122824756,0.32225788889365786,0.10176751680556424,0.3508244086494921
